name	latitude	longitude
West Bank	44.07346	-123.11787
Dura	42.28111	21.17389
Hebron	31.52935	35.0938
Tulkarem	32.31156	35.0269
Gaza Strip	31.50161	34.46672
the West Bank	44.07346	-123.11787
Israel	31.5	34.75
Nablus	32.22111	35.25444
the Red Sea	38.47304	-109.81762
the United States	35.10847	-107.72546
United Kingdom	54.75844	-2.69531
Yemen	15.5	47.5
Iran	32	53
Gaza	31.50161	34.46672
US	45.45832	102.4209
Sanaa	15.35472	44.20667
Saudi Arabia	25	45
Aden	12.77944	45.03667
Tel Aviv	32.08088	34.78057
UK	54.75844	-2.69531
Palestine	31.92157	35.20329
The Red Sea	38.47304	-109.81762
Africa	7.1881	21.09375
Red Sea	22	35
Marib	15.4591	45.32534
the Middle East	35.8	-86.5
the United Arab Emirates	38.89928	-77.05637
Turkey	39	35
Jordan	31	36
Qatar	25.5	51.25
UAE	12.26667	-14.7
Charleston	38.34982	-81.63262
South Carolina	34.00043	-81.00009
Gaza City	31.50161	34.46672
Doha	25.28545	51.53096
Hong Kong	22.27832	114.17469
South Africa	-29	24
the State of Palestine	31.76212	-95.63079
Lebanon	33.83333	35.83333
Hague	52.51118	-106.41859
Pretoria	-25.74486	28.18783
Uganda	1.25	32.5
China	35	105
Russia	55	40
The Hague	52.07667	4.29861
Kuwait	29.5	47.75
Ukraine	49	32
Canada	60.10867	-113.64258
Montreal	45.50884	-73.58781
Milton, Ontario	43.51681	-79.88294
Jabalia	31.5272	34.48347
Ottawa	45.41117	-75.69812
Egypt	27	30
Rafah	31.29722	34.24357
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Afghanistan	33	66
Austria	47.33333	13.33333
Australia	-25	135
Finland	64	26
Germany	51.5	10.5
Italy	42.83333	12.83333
Japan	35.68536	139.75309
Netherlands	52.25	5.75
Iceland	65	-18
Sweden	62	15
Switzerland	47.00016	8.01427
Romania	46	25
the United Kingdom	54.75844	-2.69531
The United States	35.10847	-107.72546
Washington, DC	38.79865	-77.48624
Jerusalem	31.78199	35.21961
Gretna	30.61714	-84.65991
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
East Jerusalem	31.78336	35.23388
Scotland	6.19262	-57.58637
Ireland	53	-8
Norway	62	10
Syria	35	38
Jenin	32.45943	35.30086
Ramallah	31.89964	35.20422
Abwein	32.03144	35.19992
Qalqilya	32.18583	35.06583
Jericho	40.79204	-73.53985
U.S.	39.76	-98.5
Bahrain	26.03333	50.55
Denmark	56	10
New Zealand	-27.83908	143.26172
South Korea	36.5	127.75
Spain	10.66668	-61.51889
France	14.60365	-61.07418
Belgium	50.75	4.5
Czech Republic	49.75	15
Hungary	47	20
Berlin	52.52437	13.41053
Paris	48.85341	2.3488
Slovenia	46.08333	15
Brussels	50.85045	4.34878
Middle East	33.13906	35.85869
Flanders	45.37789	-71.55096
Wallonia	50.5	4.75
Ein al-Hilweh	33.54167	35.37778
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
the Jordan Valley	42.97404	-117.0543
Area C	40.92122	14.78212
al-Jiftlik	32.1407	35.48738
Farsiya	31.32775	48.37968
Makhoul	34.60611	36.29083
Tubas	32.32091	35.36989
Areas A	42.75	-7.9
United States	35.10847	-107.72546
Beirut	33.89332	35.50157
Washington	47.50012	-120.50147
Kerman	30.28321	57.07879
the Islamic Republic	-12.23333	44.44553
Nur Shams	32.31667	35.06667
Naqoura	33.11806	35.13972
Deir el-Balah	31.41834	34.34933
Nuseirat	31.44861	34.3925
DC	38.79865	-77.48624
America	-14.60485	-57.65625
Strip	36.11479	-115.17281
West	42.77268	-116.9579
London	51.50853	-0.12574
Myanmar	21	96
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
Vienna	48.20849	16.37208
Amman	31.95522	35.94503
Washington DC	38.79865	-77.48624
Manchester	42.99564	-71.45479
India	22	79
Hyderabad	17.38405	78.45636
Farhana	31.50836	-8.73053
Khan Younis	31.34018	34.30627
Earth	0	0
Kiryat Arba	31.52838	35.11897
Britain	54	-2
the Republic of Yemen	38.89928	-77.05637
Hodeidah	14.79781	42.95452
Saada	31.58904	-8.15569
Taiz	13.57952	44.02091
Hajjah	15.69425	43.60582
Europe	48.69096	9.14062
